participant_id,session_id,trial_name,trial_type,step,action,description,window_frames,marker_name,t_first_s,t_last_s,n_anchor_points
subject5,subject5,ID5_S7_sprint,,1,median_filter,"Median filter applied to all markers (window=7 frames, NaN-safe)",7,,,,
subject5,subject5,ID5_S7_sprint,,2,spline,Spline correction: LAnkle from 1.086s to 1.171s (3 anchor points),,LAnkle,1.086,1.171,3
subject5,subject5,ID5_S7_sprint,,3,spline,Spline correction: LAnkle from 0.898s to 0.946s (3 anchor points),,LAnkle,0.898,0.946,3
subject5,subject5,ID5_S7_sprint,,4,spline,Spline correction: LAnkle from 0.147s to 0.217s (4 anchor points),,LAnkle,0.147,0.217,4
subject5,subject5,ID5_S7_sprint,,5,spline,Spline correction: LAnkle from 0.570s to 0.688s (3 anchor points),,LAnkle,0.570,0.688,3
subject5,subject5,ID5_S7_sprint,,6,spline,Spline correction: LAnkle from 0.827s to 0.967s (3 anchor points),,LAnkle,0.827,0.967,3
subject5,subject5,ID5_S7_sprint,,7,spline,Spline correction: LAnkle from 1.621s to 1.718s (3 anchor points),,LAnkle,1.621,1.718,3
subject5,subject5,ID5_S7_sprint,,8,spline,Spline correction: LAnkle from 1.777s to 1.954s (4 anchor points),,LAnkle,1.777,1.954,4
subject5,subject5,ID5_S7_sprint,,9,spline,Spline correction: LAnkle from 1.916s to 2.136s (5 anchor points),,LAnkle,1.916,2.136,5
subject5,subject5,ID5_S7_sprint,,10,spline,Spline correction: LAnkle from 1.214s to 1.300s (2 anchor points),,LAnkle,1.214,1.300,2
subject5,subject5,ID5_S7_sprint,,11,spline,Spline correction: LBigToe from 2.298s to 2.415s (3 anchor points),,LBigToe,2.298,2.415,3
subject5,subject5,ID5_S7_sprint,,12,spline,Spline correction: LSmallToe from 2.298s to 2.415s (3 anchor points),,LSmallToe,2.298,2.415,3
subject5,subject5,ID5_S7_sprint,,13,spline,Spline correction: LBigToe from 1.070s to 1.167s (2 anchor points),,LBigToe,1.070,1.167,2
subject5,subject5,ID5_S7_sprint,,14,spline,Spline correction: LSmallToe from 1.070s to 1.167s (2 anchor points),,LSmallToe,1.070,1.167,2
subject5,subject5,ID5_S7_sprint,,15,spline,Spline correction: LBigToe from 1.557s to 1.638s (3 anchor points),,LBigToe,1.557,1.638,3
subject5,subject5,ID5_S7_sprint,,16,spline,Spline correction: LSmallToe from 1.557s to 1.638s (3 anchor points),,LSmallToe,1.557,1.638,3
subject5,subject5,ID5_S7_sprint,,17,spline,Spline correction: LBigToe from 1.831s to 1.954s (3 anchor points),,LBigToe,1.831,1.954,3
subject5,subject5,ID5_S7_sprint,,18,spline,Spline correction: LSmallToe from 1.831s to 1.954s (3 anchor points),,LSmallToe,1.831,1.954,3
subject5,subject5,ID5_S7_sprint,,19,spline,Spline correction: LBigToe from 0.795s to 0.940s (3 anchor points),,LBigToe,0.795,0.940,3
subject5,subject5,ID5_S7_sprint,,20,spline,Spline correction: LSmallToe from 0.795s to 0.940s (3 anchor points),,LSmallToe,0.795,0.940,3
subject5,subject5,ID5_S7_sprint,,21,spline,Spline correction: LElbow from 2.003s to 2.105s (2 anchor points),,LElbow,2.003,2.105,2
subject5,subject5,ID5_S7_sprint,,22,spline,Spline correction: LElbow from 2.341s to 2.432s (3 anchor points),,LElbow,2.341,2.432,3
subject5,subject5,ID5_S7_sprint,,23,spline,Spline correction: LElbow from 1.013s to 1.104s (3 anchor points),,LElbow,1.013,1.104,3
subject5,subject5,ID5_S7_sprint,,24,spline,Spline correction: LElbow from 0.216s to 0.371s (4 anchor points),,LElbow,0.216,0.371,4
subject5,subject5,ID5_S7_sprint,,25,spline,Spline correction: LElbow from 1.843s to 1.982s (7 anchor points),,LElbow,1.843,1.982,7
subject5,subject5,ID5_S7_sprint,,26,spline,Spline correction: LElbow from 0.863s to 1.008s (8 anchor points),,LElbow,0.863,1.008,8
subject5,subject5,ID5_S7_sprint,,27,spline,Spline correction: LElbow from 1.120s to 1.174s (3 anchor points),,LElbow,1.120,1.174,3
subject5,subject5,ID5_S7_sprint,,28,spline,Spline correction: LHeel from 2.244s to 2.410s (4 anchor points),,LHeel,2.244,2.410,4
subject5,subject5,ID5_S7_sprint,,29,spline,Spline correction: LHeel from 2.078s to 2.131s (2 anchor points),,LHeel,2.078,2.131,2
subject5,subject5,ID5_S7_sprint,,30,spline,Spline correction: LHeel from 1.338s to 1.525s (6 anchor points),,LHeel,1.338,1.525,6
subject5,subject5,ID5_S7_sprint,,31,spline,Spline correction: LHip from 1.773s to 2.431s (10 anchor points),,LHip,1.773,2.431,10
subject5,subject5,ID5_S7_sprint,,32,spline,Spline correction: LHip from 1.688s to 1.763s (3 anchor points),,LHip,1.688,1.763,3
subject5,subject5,ID5_S7_sprint,,33,spline,Spline correction: RHip from 1.916s to 2.423s (20 anchor points),,RHip,1.916,2.423,20
subject5,subject5,ID5_S7_sprintNoSync,,1,median_filter,"Median filter applied to all markers (window=7 frames, NaN-safe)",7,,,,
subject5,subject5,ID5_S7_sprintNoSync,,2,spline,Spline correction: LAnkle from 1.996s to 2.104s (4 anchor points),,LAnkle,1.996,2.104,4
subject5,subject5,ID5_S7_sprintNoSync,,3,spline,Spline correction: LAnkle from 1.927s to 2.013s (4 anchor points),,LAnkle,1.927,2.013,4
subject5,subject5,ID5_S7_sprintNoSync,,4,spline,Spline correction: LAnkle from 1.531s to 1.579s (4 anchor points),,LAnkle,1.531,1.579,4
subject5,subject5,ID5_S7_sprintNoSync,,5,spline,Spline correction: LAnkle from 1.069s to 1.177s (4 anchor points),,LAnkle,1.069,1.177,4
subject5,subject5,ID5_S7_sprintNoSync,,6,spline,Spline correction: LAnkle from 1.348s to 1.504s (5 anchor points),,LAnkle,1.348,1.504,5
subject5,subject5,ID5_S7_sprintNoSync,,7,spline,Spline correction: LAnkle from 1.338s to 1.477s (5 anchor points),,LAnkle,1.338,1.477,5
subject5,subject5,ID5_S7_sprintNoSync,,8,spline,Spline correction: LBigToe from 1.076s to 1.172s (3 anchor points),,LBigToe,1.076,1.172,3
subject5,subject5,ID5_S7_sprintNoSync,,9,spline,Spline correction: LSmallToe from 1.076s to 1.172s (3 anchor points),,LSmallToe,1.076,1.172,3
subject5,subject5,ID5_S7_sprintNoSync,,10,spline,Spline correction: LBigToe from 1.541s to 1.648s (4 anchor points),,LBigToe,1.541,1.648,4
subject5,subject5,ID5_S7_sprintNoSync,,11,spline,Spline correction: LSmallToe from 1.541s to 1.648s (4 anchor points),,LSmallToe,1.541,1.648,4
subject5,subject5,ID5_S7_sprintNoSync,,12,spline,Spline correction: LBigToe from 1.048s to 1.203s (3 anchor points),,LBigToe,1.048,1.203,3
subject5,subject5,ID5_S7_sprintNoSync,,13,spline,Spline correction: LSmallToe from 1.048s to 1.203s (3 anchor points),,LSmallToe,1.048,1.203,3
subject5,subject5,ID5_S7_sprintNoSync,,14,spline,Spline correction: RAnkle from 0.817s to 0.946s (5 anchor points),,RAnkle,0.817,0.946,5
subject5,subject5,ID5_S7_sprintNoSync,,15,spline,Spline correction: RAnkle from 0.876s to 0.925s (4 anchor points),,RAnkle,0.876,0.925,4
subject5,subject5,ID5_S7_sprintNoSync,,16,spline,Spline correction: RAnkle from 0.973s to 1.080s (5 anchor points),,RAnkle,0.973,1.080,5
subject5,subject5,ID5_S7_sprintNoSync,,17,spline,Spline correction: RAnkle from 0.843s to 0.935s (5 anchor points),,RAnkle,0.843,0.935,5
subject5,subject5,ID5_S7_sprintNoSync,,18,spline,Spline correction: RBigToe from 1.273s to 1.424s (6 anchor points),,RBigToe,1.273,1.424,6
subject5,subject5,ID5_S7_sprintNoSync,,19,spline,Spline correction: RSmallToe from 1.273s to 1.424s (6 anchor points),,RSmallToe,1.273,1.424,6
subject5,subject5,ID5_S7_sprintNoSync,,20,spline,Spline correction: RBigToe from 1.076s to 1.419s (9 anchor points),,RBigToe,1.076,1.419,9
subject5,subject5,ID5_S7_sprintNoSync,,21,spline,Spline correction: RSmallToe from 1.076s to 1.419s (9 anchor points),,RSmallToe,1.076,1.419,9
subject5,subject5,ID5_S7_sprintNoSync,,22,spline,Spline correction: RBigToe from 1.321s to 1.375s (2 anchor points),,RBigToe,1.321,1.375,2
subject5,subject5,ID5_S7_sprintNoSync,,23,spline,Spline correction: RSmallToe from 1.321s to 1.375s (2 anchor points),,RSmallToe,1.321,1.375,2
subject5,subject5,ID5_S7_sprintNoSync,,24,spline,Spline correction: RBigToe from 0.855s to 0.930s (3 anchor points),,RBigToe,0.855,0.930,3
